ID;period_first_selected;selected_for_201804;size_band;size;newly_selected_month
649;201804;Y;6;05-Sep;Apr
650;201804;Y;6;05-Sep;Apr
651;201803;Y;6;05-Sep;Mar
652;201802;Y;1;0-4;Feb
653;201802;Y;1;0-4;Feb
654;201801;Y;1;0-4;Jan
655;201801;Y;1;0-4;Jan
656;201801;Y;6;05-Sep;Jan
657;201804;Y;1;0-4;Apr
658;201803;Y;1;0-4;Mar
659;201804;Y;6;05-Sep;Apr
660;201804;Y;1;0-4;Apr
661;201804;Y;1;0-4;Apr
662;201801;Y;1;0-4;Jan
663;201804;Y;1;0-4;Apr
664;201802;Y;1;0-4;Feb
665;201803;Y;6;05-Sep;Mar
666;201804;Y;1;0-4;Apr
667;201803;Y;6;05-Sep;Mar
668;201801;Y;7;Oct-19;Jan
669;201803;Y;1;0-4;Mar
670;201801;Y;6;05-Sep;Jan
671;201801;Y;6;05-Sep;Jan
672;201802;Y;6;05-Sep;Feb
673;201803;Y;1;0-4;Mar
674;201801;Y;1;0-4;Jan
675;201803;Y;1;0-4;Mar
676;201803;Y;1;0-4;Mar
677;201801;Y;6;05-Sep;Jan
678;201803;Y;6;05-Sep;Mar
679;201801;Y;7;Oct-19;Jan
680;201803;Y;6;05-Sep;Mar
681;201804;Y;6;05-Sep;Apr
682;201801;Y;7;Oct-19;Jan
683;201803;Y;6;05-Sep;Mar
684;201801;Y;6;05-Sep;Jan
685;201803;Y;1;0-4;Mar
686;201803;Y;1;0-4;Mar
687;201801;Y;1;0-4;Jan
688;201804;Y;1;0-4;Apr
689;201801;Y;6;05-Sep;Jan
690;201801;Y;6;05-Sep;Jan
691;201801;Y;6;05-Sep;Jan
692;201802;Y;6;05-Sep;Feb
693;201803;Y;7;Oct-19;Mar
694;201802;Y;1;0-4;Feb
695;201801;Y;6;05-Sep;Jan
696;201802;Y;6;05-Sep;Feb
697;201803;Y;1;0-4;Mar
698;201801;Y;7;Oct-19;Jan
699;201801;Y;6;05-Sep;Jan
700;201804;Y;7;Oct-19;Apr
701;201801;Y;6;05-Sep;Jan
702;201801;Y;1;0-4;Jan
703;201803;Y;7;Oct-19;Mar
704;201801;Y;6;05-Sep;Jan
705;201804;Y;1;0-4;Apr
706;201803;Y;1;0-4;Mar
707;201804;Y;1;0-4;Apr
708;201803;Y;1;0-4;Mar
709;201803;Y;7;Oct-19;Mar
710;201801;Y;6;05-Sep;Jan
711;201802;Y;1;0-4;Feb
712;201804;Y;6;05-Sep;Apr
713;201802;Y;1;0-4;Feb
714;201802;Y;1;0-4;Feb
715;201803;Y;6;05-Sep;Mar
716;201801;Y;1;0-4;Jan
717;201801;Y;1;0-4;Jan
718;201803;Y;1;0-4;Mar
719;201801;Y;6;05-Sep;Jan
720;201801;Y;6;05-Sep;Jan
721;201801;Y;1;0-4;Jan
722;201801;Y;1;0-4;Jan
723;201801;Y;6;05-Sep;Jan
724;201804;Y;1;0-4;Apr
725;201802;Y;6;05-Sep;Feb
726;201801;Y;6;05-Sep;Jan
